"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","B","OAXNNN10OABX54S1EMHV",4,2,3,2,1,"a","5","b",0,"b","2","b",0,0,NA,2,3,4,3,2,"a",5,"none","yes","none","yes",1,1,"b",2,"b",0,3
"2",2,2,"B","A","MRUUW0J52NNEO3HZGU17",NA,NA,NA,NA,NA,"","","",NA,"","","",NA,NA,NA,3,2,3,1,2,"a",3,"none","yes","weak","yes",3,1,"b",2,"b",0,4
"3",3,3,"A","B","DRS1BVL6DIHM3YYLPO07",1,2,0,1,0,"a","5","a",1,"b","0","a",0,0,NA,1,4,3,0,0,"b",2,"none","yes","weak","yes",3,0,"b",0,"b",0,1
"4",4,4,"B","A","NE4VEMQGQPY7C56OPXQY",3,2,3,1,0,"a","4","b",0,"a","3","b",0,0,NA,3,1,3,2,4,"b",4,"none","yes","none","yes",0,0,"b",4,"b",1,2
"5",5,5,"A","B","2GHLPRB6SQUC7OTW0NXO",1,2,1,1,1,"a","4","b",0,"b","0","b",1,0,NA,2,1,1,0,0,"a",4,"none","no","none","no",0,0,"b",1,"b",0,0
"6",6,6,"B","A","KB3IX8UEC1ZFCX5ZMIR2",5,2,3,3,1,"a","5","a",4,"a","4","a",3,0,NA,3,4,3,2,1,"a",2,"weak","yes","strong","yes",4,2,"a",5,"b",1,2
"7",7,7,"A","B","PSYW8V04YG8LT90HFCEJ",0,0,0,2,0,"b","0","b",0,"b","0","b",1,0,NA,0,0,0,0,0,"b",0,"none","no","none","no",0,0,"b",1,"b",0,0
"8",8,8,"B","A","SZYZKC095YKWCIGYQ8JF",NA,NA,NA,NA,NA,"","","",NA,"","","",NA,NA,NA,4,0,2,2,3,"a",4,"none","yes","none","yes",0,0,"a",5,"b",0,1
"9",9,9,"A","B","K4QIPJKP0JE9DEYIRXGL",2,3,2,4,1,"b","3","a",3,"b","2","b",2,5,NA,NA,NA,NA,NA,NA,"",NA,"","","","",NA,NA,"",NA,"",NA,NA
"10",10,10,"B","A","CM58SNHR375YSDDQP4SP",4,5,3,2,1,"a","5","b",1,"a","5","b",0,0,NA,1,2,3,0,3,"a",4,"vague","yes","vague","yes",1,2,"b",4,"b",0,2
