"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","B","3OXK43YJEM69LW2A5SXZ",1,0,0,4,0,"a",4,"b",0,"a",2,"b",2,0,NA,1,0,3,0,0,"a","1s","none","no","none","no",0,0,"a",1,"b",0,0
"2",2,2,"A","B","4JAD8FWAUBNXKRWWOUTB",1,3,1,1,0,"b",2,"b",0,"b",1,"b",0,0,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"",NA,"",NA,NA
"3",3,3,"A","B","2L6H16KXN7ZN0IDAFTCE",3,4,2,4,0,"b",4,"b",3,"a",4,"b",0,5,NA,2,3,3,1,0,"a","3","weak","no","vague","no",2,3,"b",2,"b",0,3
"4",4,4,"B","A","67CLMDTFXMFTFAIKI5ZO",1,4,2,3,4,"a",4,"a",2,"b",0,"a",2,0,NA,2,3,1,2,1,"b","1","none","no","none","no",0,0,"B",0,"b",0,1
"5",5,5,"B","A","H2ZQQ5CDUPY29MG5SAC5",1,2,0,1,1,"b",2,"b",1,"a",1,"b",0,0,NA,2,1,2,1,1,"b","0","none","no","none","no",0,0,"b",2,"b",0,0
"6",6,6,"B","A","XMWZV6CFJ7113M7M6ETV",1,0,0,0,0,"a",1,"b",0,"b",0,"a",2,0,NA,2,1,3,3,0,"a","4","none","yes","vague","yes",4,2,"b",3,"b",0,0
"7",7,7,"A","B","EEZUIKR7F3YXWZCR7FDI",2,2,0,0,0,"a",3,"b",0,"a",2,"b",0,0,NA,1,2,1,0,0,"b","0","vague","no","none","no",0,1,"a",1,"b",0,0
"8",8,8,"A","B","LBBY5A195EU2J480XJ33",2,0,2,4,2,"b",1,"B",0,"b",1,"b",0,0,NA,2,0,1,1,2,"a","1","none","no","none","no",0,0,"a",1,"b",0,1
"9",9,9,"A","B","IGJHX6M9CZ44BV5E3OGU",1,2,1,0,3,"b",0,"b",0,"b",0,"b",0,0,NA,1,0,1,0,0,"b","1","none","no","none","no",0,0,"b",0,"b",0,0
"10",10,10,"B","A","Q9T9C49CHODWHCNORWOW",0,0,0,0,0,"a",2,"b",0,"b",0,"b",0,0,NA,4,4,4,2,4,"a","3","none","no","none","no",0,0,"b",3,"b",0,1
"11",11,11,"B","A","8UABYCJ2D73KHSQZ8DWA",3,1,1,1,0,"a",4,"b",1,"b",2,"b",0,0,NA,2,1,2,3,1,"b","4","none","yes","none","yes",0,0,"b",3,"b",0,0
"12",12,12,"B","A","OQQ2KE0UR326HQHXQN2Z",4,3,3,4,2,"a",5,"a",5,"a",5,"a",3,2,NA,2,3,2,4,2,"a","4","weak","yes","weak","yes",3,4,"b",3,"b",1,4
"13",13,13,"A","B","9ZTWXOVT83IBPVHETE4B",0,1,0,0,0,"b",1,"b",0,"b",0,"b",0,0,NA,0,0,0,0,0,"b","0","none","no","none","no",0,0,"b",0,"b",0,0
"14",14,14,"A","B","OJ7J3O7Z1CWM77BCYLTW",2,3,2,4,4,"b",0,"b",0,"b",0,"b",0,0,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"",NA,"",NA,NA
"15",15,15,"A","B","U2QFR9IDGPPP629XXFUW",3,3,2,4,2,"a",4,"b",0,"b",2,"a",5,0,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"",NA,"",NA,NA
"16",16,16,"B","A","NEPYX5FIXL01ASG7FRQ5",1,3,2,2,2,"b",1,"b",0,"a",0,"b",0,0,NA,3,2,3,4,4,"b","4","none","yes","strong","yes",5,0,"b",3,"b",0,1
"17",17,17,"B","A","KHTYCCK5I8P83L0WWKTM",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,0,5,3,0,0,"b","0","strong","yes","strong","yes",5,5,"b",0,"b",0,0
"18",18,18,"B","A","8995AQ45ABM6BRMYEY7F",1,0,2,2,1,"a",5,"b",1,"b",4,"a",4,0,NA,2,1,2,1,0,"a","5","none","yes","weak","yes",1,1,"b",3,"b",0,1
"19",19,19,"A","B","HB466DS3Y896K0G8YSEY",1,2,1,0,0,"b",2,"b",0,"a",0,"b",0,0,NA,1,1,1,1,1,"b","0","none","no","none","no",0,0,"a",0,"b",0,0
"20",20,20,"A","B","HELCRZXQKL7NCMQ2OV6O",1,2,0,0,0,"b",3,"b",0,"b",0,"b",0,0,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,"",NA,"",NA,NA
"21",21,21,"A","B","ZCUFR04TLVJXUBIB3PMI",2,3,1,1,0,"B",0,"a",4,"b",0,"b",0,0,NA,3,1,2,4,3,"a","4","none","no","vague","no",2,0,"a",0,"b",0,2
"22",22,22,"B","A","BZ7A1ECNSLEKYWEL4A1F",4,2,3,3,2,"a",3,"b",0,"b",3,"b",1,0,NA,3,2,3,1,3,"A","3","weak","no","weak","no",2,1,"B",4,"B",0,4
"23",23,23,"A","B","J1NOHAFCF1C9HX516DC8",1,0,2,3,1,"a",3,"b",0,"b",2,"b",3,0,NA,2,2,3,1,1,"a","1","none","no","none","no",0,0,"a",2,"b",0,1
