"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","B","FCDK2JT805VNTIXE0FUO",1,2,1,0,1,"A",3,"B",1,"B",3,"A",2,0,NA,2,1,2,0,0,"A",3,"V","N","V","N",1,1,"B",0,"B",0,1
"2",2,2,"A","B","203TFIJZQV0K24QFP79H",2,3,1,3,1,"B",2,"B",0,"B",0,"B",0,0,NA,2,3,2,2,1,"A",2,"N","N","V","N",3,1,"B",0,"B",0,0
"3",3,3,"B","A","3XWTXPLITRN4BIZ3O8F8",0,0,0,1,0,"A",5,"B",0,"B",0,"B",0,0,NA,0,0,0,0,0,"B",2,"N","Y","N","Y",0,0,"B",2,"B",1,3
"4",4,4,"A","B","UQVLJJPGBEUHFIL6WKNP",3,3,2,0,0,"A",5,"B",0,"A",5,"A",4,0,NA,3,0,3,0,4,"A",4,"W","N","V","Y",3,1,"A",5,"B",2,4
"5",5,5,"B","A","LKFKVNN4W9ZCA8LD2WE5",1,3,0,1,0,"A",4,"B",1,"A",3,"B",0,0,NA,3,2,1,0,0,"A",3,"N","N","N","N",0,0,"B",1,"B",0,0
"6",6,6,"B","A","712C9WGID5FOX22YADAI",2,1,3,2,1,"A",4,"B",0,"A",3,"N",0,0,NA,2,1,3,2,0,"A",3,"V","N","V","N",1,1,"B",0,"B",0,1
"7",7,7,"A","B","BAPJE5GJ4YJ5V3644BR6",4,2,2,3,2,"A",4,"A",3,"A",4,"B",1,0,NA,4,2,3,1,2,"A",4,"W","N","W","Y",3,1,"B",2,"B",0,1
"8",8,8,"A","B","T92XFPTYB0FJDRZJESVV",0,1,0,0,0,"B",0,"B",0,"B",0,"B",0,0,NA,0,1,0,0,0,"B",1,"N","N","N","N",0,0,"B",0,"B",0,0
"9",9,9,"A","B","ZM3PI2HHYIT8V2MZRICK",1,0,1,2,1,"A",3,"B",0,"B",2,"B",0,0,NA,0,2,1,1,0,"B",1,"N","N","N","N",0,0,"B",1,"B",0,0
"10",10,10,"B","A","MGIQRQ0KUWEXJWBSX76A",4,2,4,3,3,"A",5,"B",0,"B",3,"B",0,0,NA,4,4,5,3,2,"B",4,"N","Y","N","Y",0,0,"B",3,"B",0,0
"11",11,11,"B","","3MVAQ8TRKG5ZFPXEAQ6W",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,NA,NA,1,2,1,0,1,"B",0,"N","Y","V","N",1,0,"A",1,"B",0,0
"12",12,12,"B","A","ERKPD6OMDRCIY78E52UU",2,3,2,1,0,"B",3,"B",0,"A",2,"B",1,0,NA,2,3,3,1,1,"A",3,"N","N","N","N",0,0,"B",2,"B",0,2
"13",13,13,"A","B","F7IJIN5NZML2L1DHTP21",1,1,1,1,2,"B",0,"B",0,"A",0,"B",0,0,NA,0,0,0,0,0,"A",2,"N","N","N","N",0,0,"A",0,"B",0,0
"14",14,14,"A","B","UAZEK5TV4RSYWEES73G2",2,0,2,0,3,"A",4,"B",0,"A",3,"B",0,0,NA,2,0,3,0,0,"B",1,"N","N","N","N",0,0,"B",0,"B",0,0
"15",15,15,"A","B","84738WEHL82OYEA9SX2H",1,0,1,3,0,"B",2,"B",0,"B",2,"B",0,0,NA,1,1,2,0,0,"B",0,"N","N","N","N",0,0,"B",1,"A",0,0
"16",16,16,"B","A","HHQG0X8P8FVHQFW51HSX",1,0,1,0,0,"B",1,"B",0,"B",0,"B",0,0,NA,1,1,2,0,2,"B",2,"N","N","N","N",0,0,"B",3,"N",0,2
