"","X.2","X","Time.one","Time.two","email","A1","A2","A3","A4","A5","A1o","A1s","A2o","A2s","A3o","A3s","A4o","A4s","A5s","X.1","B1","B2","B3","B4","B5","B1o","B1s","B2o1","B2o2","B2o3","B2o4","B2s1","B2s2","B3o","B3s","B4o","B4s","B5s"
"1",1,1,"A","B","KKOO01ZIQM0W08W9O628",0,0,0,1,0,"B",0,"B",0,"B",0,"B",0,0,NA,0,1,0,1,0,"B",0,"none","no","none","no",0,0,"B",0,"B",0,0
"2",2,2,"B","A","VZQ3P6P12V371N72LF53",3,4,4,1,1,"A",3,"A",4,"B",2,"B",0,0,NA,4,2,3,1,0,"B",3,"none","no","none","no",0,0,"A",3,"B",0,0
"3",3,3,"A","B","0EISFSORF1X3SUXB4ZBW",1,3,1,1,0,"B",2,"B",0,"B",0,"B",2,0,NA,2,2,3,2,1,"A",3,"none","no","none","no",0,0,"B",0,"B",0,0
"4",4,4,"B","A","1GC9GZRHQYLNPG5KUZCJ",2,1,2,0,0,"A",2,"B",0,"B",1,"B",0,0,NA,0,0,0,0,0,"B",1,"none","no","none","no",0,0,"B",1,"B",0,1
"5",5,5,"A","B","6E2HHVP7SG2QQAPSTJTV",3,3,3,4,2,"B",2,"B",0,"A",3,"A",3,0,NA,2,1,3,1,1,"A",2,"none","no","none","no",0,0,"B",1,"B",0,0
"6",6,6,"B","A","HWOYHRJ89SRW69U77L1G",1,2,1,3,2,"A",4,"A",1,"B",1,"B",1,0,NA,2,0,1,4,0,"A",1,"none","no","vague","no",2,0,"B",0,"B",0,0
"7",7,7,"B","A","VPJE1V3OBBJNR21D00TN",1,2,1,1,2,"B",2,"B",1,"B",0,"B",0,0,NA,1,1,1,1,1,"A",2,"none","no","none","no",1,1,"B",1,"B",0,0
"8",8,8,"A","B","1OOH9P0GJ6UVO0C5JXUZ",3,4,5,3,0,"A",4,"B",2,"B",5,"B",0,0,NA,2,2,4,3,1,"A",3,"weak","no","strong","yes",4,1,"A",2,"B",0,0
"9",9,9,"B","A","PUCE0UVX9OQSCWMM0G70",1,0,1,1,0,"B",2,"B",0,"B",1,"B",0,0,NA,4,3,4,1,3,"A",4,"weak","no","weak","no",1,1,"B",3,"B",0,0
"10",10,10,"A","B","FQZKIBZ6MQCFH6QAUXNI",2,1,1,5,1,"A",4,"B",0,"B",2,"B",1,0,NA,1,2,3,3,0,"B",0,"none","yes","none","yes",0,0,"B",1,"B",0,1
"11",11,11,"B","A","X6UL3NK0W7RN71DAJC2N",3,4,4,2,3,"A",3,"B",0,"B",1,"B",0,0,NA,4,3,4,2,4,"A",4,"none","no","none","no",0,0,"B",0,"B",0,3
"12",12,12,"A","B","HZ9LL6OJV910FZK8SH2L",2,5,2,3,1,"A",3,"A",5,"A",0,"B",0,0,NA,4,1,3,5,1,"A",3,"none","yes","vague","yes",4,0,"A",2,"B",0,3
"13",13,13,"B","A","8U32BVY0AD22VXNQ31CU",2,0,1,0,0,"B",1,"B",0,"B",1,"B",0,0,NA,2,1,2,3,0,"B",1,"none","no","vague","yes",1,0,"B",3,"B",0,0
"14",14,14,"A","B","7F6G8TIJW3RY68ZVQDJ4",2,1,2,2,0,"A",3,"B",0,"B",3,"B",0,0,NA,3,1,2,0,1,"A",2,"vague","yes","none","no",0,1,"B",2,"B",0,3
"15",15,15,"B","A","AOEHC7TXMMUYYGSUYS4E",1,0,1,0,0,"A",2,"B",0,"B",0,"B",0,0,NA,4,5,1,3,2,"A",0,"vague","no","vague","no",1,1,"B",0,"B",0,0
"16",16,16,"A","B","4DMABIKNIWT6YQIECRAD",2,1,1,2,3,"A",4,"A",2,"A",3,"A",3,0,NA,3,1,4,0,2,"B",2,"vague","no","none","no",0,1,"B",1,"B",1,0
